timestamp_utc,image_path,mask_path
20260223T211000Z,data/raw/2026-02-24/master/frames/himawari_20260223T211000Z.png,out/2026-02-24/phase3_unet_pixelmask_thr03/masks_unet/himawari_20260223T211000Z_mask.png
20260223T212000Z,data/raw/2026-02-24/master/frames/himawari_20260223T212000Z.png,out/2026-02-24/phase3_unet_pixelmask_thr03/masks_unet/himawari_20260223T212000Z_mask.png
20260223T213000Z,data/raw/2026-02-24/master/frames/himawari_20260223T213000Z.png,out/2026-02-24/phase3_unet_pixelmask_thr03/masks_unet/himawari_20260223T213000Z_mask.png
20260223T214000Z,data/raw/2026-02-24/master/frames/himawari_20260223T214000Z.png,out/2026-02-24/phase3_unet_pixelmask_thr03/masks_unet/himawari_20260223T214000Z_mask.png
20260223T215000Z,data/raw/2026-02-24/master/frames/himawari_20260223T215000Z.png,out/2026-02-24/phase3_unet_pixelmask_thr03/masks_unet/himawari_20260223T215000Z_mask.png
20260223T221000Z,data/raw/2026-02-24/master/frames/himawari_20260223T221000Z.png,out/2026-02-24/phase3_unet_pixelmask_thr03/masks_unet/himawari_20260223T221000Z_mask.png
20260223T222000Z,data/raw/2026-02-24/master/frames/himawari_20260223T222000Z.png,out/2026-02-24/phase3_unet_pixelmask_thr03/masks_unet/himawari_20260223T222000Z_mask.png
20260223T223000Z,data/raw/2026-02-24/master/frames/himawari_20260223T223000Z.png,out/2026-02-24/phase3_unet_pixelmask_thr03/masks_unet/himawari_20260223T223000Z_mask.png
20260223T224000Z,data/raw/2026-02-24/master/frames/himawari_20260223T224000Z.png,out/2026-02-24/phase3_unet_pixelmask_thr03/masks_unet/himawari_20260223T224000Z_mask.png
20260223T225000Z,data/raw/2026-02-24/master/frames/himawari_20260223T225000Z.png,out/2026-02-24/phase3_unet_pixelmask_thr03/masks_unet/himawari_20260223T225000Z_mask.png
20260223T230000Z,data/raw/2026-02-24/master/frames/himawari_20260223T230000Z.png,out/2026-02-24/phase3_unet_pixelmask_thr03/masks_unet/himawari_20260223T230000Z_mask.png
20260223T231000Z,data/raw/2026-02-24/master/frames/himawari_20260223T231000Z.png,out/2026-02-24/phase3_unet_pixelmask_thr03/masks_unet/himawari_20260223T231000Z_mask.png
20260223T232000Z,data/raw/2026-02-24/master/frames/himawari_20260223T232000Z.png,out/2026-02-24/phase3_unet_pixelmask_thr03/masks_unet/himawari_20260223T232000Z_mask.png
20260223T233000Z,data/raw/2026-02-24/master/frames/himawari_20260223T233000Z.png,out/2026-02-24/phase3_unet_pixelmask_thr03/masks_unet/himawari_20260223T233000Z_mask.png
20260223T234000Z,data/raw/2026-02-24/master/frames/himawari_20260223T234000Z.png,out/2026-02-24/phase3_unet_pixelmask_thr03/masks_unet/himawari_20260223T234000Z_mask.png
20260223T235000Z,data/raw/2026-02-24/master/frames/himawari_20260223T235000Z.png,out/2026-02-24/phase3_unet_pixelmask_thr03/masks_unet/himawari_20260223T235000Z_mask.png
20260224T000000Z,data/raw/2026-02-24/master/frames/himawari_20260224T000000Z.png,out/2026-02-24/phase3_unet_pixelmask_thr03/masks_unet/himawari_20260224T000000Z_mask.png
20260224T001000Z,data/raw/2026-02-24/master/frames/himawari_20260224T001000Z.png,out/2026-02-24/phase3_unet_pixelmask_thr03/masks_unet/himawari_20260224T001000Z_mask.png
20260224T002000Z,data/raw/2026-02-24/master/frames/himawari_20260224T002000Z.png,out/2026-02-24/phase3_unet_pixelmask_thr03/masks_unet/himawari_20260224T002000Z_mask.png
20260224T003000Z,data/raw/2026-02-24/master/frames/himawari_20260224T003000Z.png,out/2026-02-24/phase3_unet_pixelmask_thr03/masks_unet/himawari_20260224T003000Z_mask.png
20260224T004000Z,data/raw/2026-02-24/master/frames/himawari_20260224T004000Z.png,out/2026-02-24/phase3_unet_pixelmask_thr03/masks_unet/himawari_20260224T004000Z_mask.png
20260224T005000Z,data/raw/2026-02-24/master/frames/himawari_20260224T005000Z.png,out/2026-02-24/phase3_unet_pixelmask_thr03/masks_unet/himawari_20260224T005000Z_mask.png
20260224T010000Z,data/raw/2026-02-24/master/frames/himawari_20260224T010000Z.png,out/2026-02-24/phase3_unet_pixelmask_thr03/masks_unet/himawari_20260224T010000Z_mask.png
20260224T011000Z,data/raw/2026-02-24/master/frames/himawari_20260224T011000Z.png,out/2026-02-24/phase3_unet_pixelmask_thr03/masks_unet/himawari_20260224T011000Z_mask.png
20260224T012000Z,data/raw/2026-02-24/master/frames/himawari_20260224T012000Z.png,out/2026-02-24/phase3_unet_pixelmask_thr03/masks_unet/himawari_20260224T012000Z_mask.png
20260224T013000Z,data/raw/2026-02-24/master/frames/himawari_20260224T013000Z.png,out/2026-02-24/phase3_unet_pixelmask_thr03/masks_unet/himawari_20260224T013000Z_mask.png
20260224T014000Z,data/raw/2026-02-24/master/frames/himawari_20260224T014000Z.png,out/2026-02-24/phase3_unet_pixelmask_thr03/masks_unet/himawari_20260224T014000Z_mask.png
20260224T015000Z,data/raw/2026-02-24/master/frames/himawari_20260224T015000Z.png,out/2026-02-24/phase3_unet_pixelmask_thr03/masks_unet/himawari_20260224T015000Z_mask.png
20260224T020000Z,data/raw/2026-02-24/master/frames/himawari_20260224T020000Z.png,out/2026-02-24/phase3_unet_pixelmask_thr03/masks_unet/himawari_20260224T020000Z_mask.png
