timestamp_utc,image_path,mask_path
20260227T210000Z,data/raw/2026-02-28/master/frames/himawari_20260227T210000Z.png,out/2026-02-28/phase3_unet_pixelmask_thr03/masks_unet/himawari_20260227T210000Z_mask.png
20260227T211000Z,data/raw/2026-02-28/master/frames/himawari_20260227T211000Z.png,out/2026-02-28/phase3_unet_pixelmask_thr03/masks_unet/himawari_20260227T211000Z_mask.png
20260227T212000Z,data/raw/2026-02-28/master/frames/himawari_20260227T212000Z.png,out/2026-02-28/phase3_unet_pixelmask_thr03/masks_unet/himawari_20260227T212000Z_mask.png
20260227T213000Z,data/raw/2026-02-28/master/frames/himawari_20260227T213000Z.png,out/2026-02-28/phase3_unet_pixelmask_thr03/masks_unet/himawari_20260227T213000Z_mask.png
20260227T214000Z,data/raw/2026-02-28/master/frames/himawari_20260227T214000Z.png,out/2026-02-28/phase3_unet_pixelmask_thr03/masks_unet/himawari_20260227T214000Z_mask.png
20260227T215000Z,data/raw/2026-02-28/master/frames/himawari_20260227T215000Z.png,out/2026-02-28/phase3_unet_pixelmask_thr03/masks_unet/himawari_20260227T215000Z_mask.png
20260227T220000Z,data/raw/2026-02-28/master/frames/himawari_20260227T220000Z.png,out/2026-02-28/phase3_unet_pixelmask_thr03/masks_unet/himawari_20260227T220000Z_mask.png
20260227T221000Z,data/raw/2026-02-28/master/frames/himawari_20260227T221000Z.png,out/2026-02-28/phase3_unet_pixelmask_thr03/masks_unet/himawari_20260227T221000Z_mask.png
20260227T222000Z,data/raw/2026-02-28/master/frames/himawari_20260227T222000Z.png,out/2026-02-28/phase3_unet_pixelmask_thr03/masks_unet/himawari_20260227T222000Z_mask.png
20260227T223000Z,data/raw/2026-02-28/master/frames/himawari_20260227T223000Z.png,out/2026-02-28/phase3_unet_pixelmask_thr03/masks_unet/himawari_20260227T223000Z_mask.png
20260227T224000Z,data/raw/2026-02-28/master/frames/himawari_20260227T224000Z.png,out/2026-02-28/phase3_unet_pixelmask_thr03/masks_unet/himawari_20260227T224000Z_mask.png
20260227T225000Z,data/raw/2026-02-28/master/frames/himawari_20260227T225000Z.png,out/2026-02-28/phase3_unet_pixelmask_thr03/masks_unet/himawari_20260227T225000Z_mask.png
20260227T230000Z,data/raw/2026-02-28/master/frames/himawari_20260227T230000Z.png,out/2026-02-28/phase3_unet_pixelmask_thr03/masks_unet/himawari_20260227T230000Z_mask.png
20260227T231000Z,data/raw/2026-02-28/master/frames/himawari_20260227T231000Z.png,out/2026-02-28/phase3_unet_pixelmask_thr03/masks_unet/himawari_20260227T231000Z_mask.png
20260227T232000Z,data/raw/2026-02-28/master/frames/himawari_20260227T232000Z.png,out/2026-02-28/phase3_unet_pixelmask_thr03/masks_unet/himawari_20260227T232000Z_mask.png
20260227T233000Z,data/raw/2026-02-28/master/frames/himawari_20260227T233000Z.png,out/2026-02-28/phase3_unet_pixelmask_thr03/masks_unet/himawari_20260227T233000Z_mask.png
20260227T234000Z,data/raw/2026-02-28/master/frames/himawari_20260227T234000Z.png,out/2026-02-28/phase3_unet_pixelmask_thr03/masks_unet/himawari_20260227T234000Z_mask.png
20260227T235000Z,data/raw/2026-02-28/master/frames/himawari_20260227T235000Z.png,out/2026-02-28/phase3_unet_pixelmask_thr03/masks_unet/himawari_20260227T235000Z_mask.png
20260228T000000Z,data/raw/2026-02-28/master/frames/himawari_20260228T000000Z.png,out/2026-02-28/phase3_unet_pixelmask_thr03/masks_unet/himawari_20260228T000000Z_mask.png
20260228T001000Z,data/raw/2026-02-28/master/frames/himawari_20260228T001000Z.png,out/2026-02-28/phase3_unet_pixelmask_thr03/masks_unet/himawari_20260228T001000Z_mask.png
20260228T002000Z,data/raw/2026-02-28/master/frames/himawari_20260228T002000Z.png,out/2026-02-28/phase3_unet_pixelmask_thr03/masks_unet/himawari_20260228T002000Z_mask.png
20260228T003000Z,data/raw/2026-02-28/master/frames/himawari_20260228T003000Z.png,out/2026-02-28/phase3_unet_pixelmask_thr03/masks_unet/himawari_20260228T003000Z_mask.png
20260228T004000Z,data/raw/2026-02-28/master/frames/himawari_20260228T004000Z.png,out/2026-02-28/phase3_unet_pixelmask_thr03/masks_unet/himawari_20260228T004000Z_mask.png
20260228T005000Z,data/raw/2026-02-28/master/frames/himawari_20260228T005000Z.png,out/2026-02-28/phase3_unet_pixelmask_thr03/masks_unet/himawari_20260228T005000Z_mask.png
20260228T010000Z,data/raw/2026-02-28/master/frames/himawari_20260228T010000Z.png,out/2026-02-28/phase3_unet_pixelmask_thr03/masks_unet/himawari_20260228T010000Z_mask.png
20260228T064000Z,data/raw/2026-02-28/master/frames/himawari_20260228T064000Z.png,out/2026-02-28/phase3_unet_pixelmask_thr03/masks_unet/himawari_20260228T064000Z_mask.png
20260228T065000Z,data/raw/2026-02-28/master/frames/himawari_20260228T065000Z.png,out/2026-02-28/phase3_unet_pixelmask_thr03/masks_unet/himawari_20260228T065000Z_mask.png
20260228T070000Z,data/raw/2026-02-28/master/frames/himawari_20260228T070000Z.png,out/2026-02-28/phase3_unet_pixelmask_thr03/masks_unet/himawari_20260228T070000Z_mask.png
20260228T071000Z,data/raw/2026-02-28/master/frames/himawari_20260228T071000Z.png,out/2026-02-28/phase3_unet_pixelmask_thr03/masks_unet/himawari_20260228T071000Z_mask.png
20260228T072000Z,data/raw/2026-02-28/master/frames/himawari_20260228T072000Z.png,out/2026-02-28/phase3_unet_pixelmask_thr03/masks_unet/himawari_20260228T072000Z_mask.png
20260228T073000Z,data/raw/2026-02-28/master/frames/himawari_20260228T073000Z.png,out/2026-02-28/phase3_unet_pixelmask_thr03/masks_unet/himawari_20260228T073000Z_mask.png
20260228T074000Z,data/raw/2026-02-28/master/frames/himawari_20260228T074000Z.png,out/2026-02-28/phase3_unet_pixelmask_thr03/masks_unet/himawari_20260228T074000Z_mask.png
20260228T075000Z,data/raw/2026-02-28/master/frames/himawari_20260228T075000Z.png,out/2026-02-28/phase3_unet_pixelmask_thr03/masks_unet/himawari_20260228T075000Z_mask.png
20260228T080000Z,data/raw/2026-02-28/master/frames/himawari_20260228T080000Z.png,out/2026-02-28/phase3_unet_pixelmask_thr03/masks_unet/himawari_20260228T080000Z_mask.png
20260228T081000Z,data/raw/2026-02-28/master/frames/himawari_20260228T081000Z.png,out/2026-02-28/phase3_unet_pixelmask_thr03/masks_unet/himawari_20260228T081000Z_mask.png
20260228T082000Z,data/raw/2026-02-28/master/frames/himawari_20260228T082000Z.png,out/2026-02-28/phase3_unet_pixelmask_thr03/masks_unet/himawari_20260228T082000Z_mask.png
20260228T083000Z,data/raw/2026-02-28/master/frames/himawari_20260228T083000Z.png,out/2026-02-28/phase3_unet_pixelmask_thr03/masks_unet/himawari_20260228T083000Z_mask.png
20260228T084000Z,data/raw/2026-02-28/master/frames/himawari_20260228T084000Z.png,out/2026-02-28/phase3_unet_pixelmask_thr03/masks_unet/himawari_20260228T084000Z_mask.png
20260228T085000Z,data/raw/2026-02-28/master/frames/himawari_20260228T085000Z.png,out/2026-02-28/phase3_unet_pixelmask_thr03/masks_unet/himawari_20260228T085000Z_mask.png
20260228T090000Z,data/raw/2026-02-28/master/frames/himawari_20260228T090000Z.png,out/2026-02-28/phase3_unet_pixelmask_thr03/masks_unet/himawari_20260228T090000Z_mask.png
