timestamp_utc,relpath,mask_path,object_rank,object_id,area_px,area_frac,bbox_x0,bbox_y0,bbox_x1,bbox_y1,centroid_x,centroid_y
,data/raw/2026-02-24/master/frames/himawari_20260223T234000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-02-24/daily/masks/himawari_20260223T234000Z_mask.png,1,1,303,0.0046234130859375,188,38,214,84,204.26072607260727,60.92079207920792
,data/raw/2026-02-24/master/frames/himawari_20260224T001000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-02-24/daily/masks/himawari_20260224T001000Z_mask.png,1,18,277,0.0042266845703125,110,183,144,203,124.33212996389892,194.1191335740072
,data/raw/2026-02-24/master/frames/himawari_20260224T002000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-02-24/daily/masks/himawari_20260224T002000Z_mask.png,1,17,320,0.0048828125,110,179,144,204,124.103125,193.478125
,data/raw/2026-02-24/master/frames/himawari_20260224T003000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-02-24/daily/masks/himawari_20260224T003000Z_mask.png,1,16,342,0.005218505859375,110,179,145,204,124.46783625730994,193.35672514619884
,data/raw/2026-02-24/master/frames/himawari_20260224T004000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-02-24/daily/masks/himawari_20260224T004000Z_mask.png,1,20,357,0.0054473876953125,110,179,145,204,123.99439775910363,193.0672268907563
,data/raw/2026-02-24/master/frames/himawari_20260224T005000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-02-24/daily/masks/himawari_20260224T005000Z_mask.png,1,19,367,0.0055999755859375,110,179,145,204,124.04632152588556,193.31335149863762
,data/raw/2026-02-24/master/frames/himawari_20260224T010000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-02-24/daily/masks/himawari_20260224T010000Z_mask.png,1,19,389,0.0059356689453125,110,179,145,204,124.32390745501286,193.61439588688947
,data/raw/2026-02-24/master/frames/himawari_20260224T011000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-02-24/daily/masks/himawari_20260224T011000Z_mask.png,1,22,398,0.006072998046875,110,179,145,204,124.16582914572864,193.5854271356784
,data/raw/2026-02-24/master/frames/himawari_20260224T012000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-02-24/daily/masks/himawari_20260224T012000Z_mask.png,1,22,417,0.0063629150390625,109,179,145,204,123.75779376498801,193.60671462829737
,data/raw/2026-02-24/master/frames/himawari_20260224T013000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-02-24/daily/masks/himawari_20260224T013000Z_mask.png,1,20,427,0.0065155029296875,109,179,145,205,123.44730679156909,193.44028103044496
,data/raw/2026-02-24/master/frames/himawari_20260224T014000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-02-24/daily/masks/himawari_20260224T014000Z_mask.png,1,22,423,0.0064544677734375,109,181,145,206,123.98817966903073,194.2080378250591
,data/raw/2026-02-24/master/frames/himawari_20260224T015000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-02-24/daily/masks/himawari_20260224T015000Z_mask.png,1,2,501,0.0076446533203125,64,42,107,71,84.99201596806387,56.20758483033932
,data/raw/2026-02-24/master/frames/himawari_20260224T020000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-02-24/daily/masks/himawari_20260224T020000Z_mask.png,1,1,569,0.0086822509765625,63,40,108,71,85.00702987697716,55.98769771528998
,data/raw/2026-02-24/master/frames/himawari_20260224T021000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-02-24/daily/masks/himawari_20260224T021000Z_mask.png,1,1,637,0.0097198486328125,61,40,108,72,84.70015698587127,56.26844583987441
,data/raw/2026-02-24/master/frames/himawari_20260224T022000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-02-24/daily/masks/himawari_20260224T022000Z_mask.png,1,1,716,0.01092529296875,60,39,110,72,84.25,56.4231843575419
,data/raw/2026-02-24/master/frames/himawari_20260224T023000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-02-24/daily/masks/himawari_20260224T023000Z_mask.png,1,1,751,0.0114593505859375,60,39,111,72,84.29294274300932,56.41544607190413
,data/raw/2026-02-24/master/frames/himawari_20260224T025000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-02-24/daily/masks/himawari_20260224T025000Z_mask.png,1,1,813,0.0124053955078125,59,39,112,72,83.70725707257073,56.45264452644526
,data/raw/2026-02-24/master/frames/himawari_20260224T030000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-02-24/daily/masks/himawari_20260224T030000Z_mask.png,1,1,820,0.01251220703125,59,39,112,72,83.86829268292684,56.426829268292686
,data/raw/2026-02-24/master/frames/himawari_20260224T031000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-02-24/daily/masks/himawari_20260224T031000Z_mask.png,1,1,812,0.01239013671875,59,39,112,72,83.8423645320197,56.45073891625616
,data/raw/2026-02-24/master/frames/himawari_20260224T032000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-02-24/daily/masks/himawari_20260224T032000Z_mask.png,1,1,831,0.0126800537109375,58,38,113,72,83.9927797833935,56.3309265944645
,data/raw/2026-02-24/master/frames/himawari_20260224T033000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-02-24/daily/masks/himawari_20260224T033000Z_mask.png,1,1,848,0.012939453125,58,38,113,72,83.80778301886792,56.43278301886792
,data/raw/2026-02-24/master/frames/himawari_20260224T034000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-02-24/daily/masks/himawari_20260224T034000Z_mask.png,1,1,853,0.0130157470703125,58,38,113,72,83.59320046893318,56.48300117233294
,data/raw/2026-02-24/master/frames/himawari_20260224T035000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-02-24/daily/masks/himawari_20260224T035000Z_mask.png,1,1,852,0.01300048828125,58,38,113,72,83.75704225352112,56.39906103286385
,data/raw/2026-02-24/master/frames/himawari_20260224T040000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-02-24/daily/masks/himawari_20260224T040000Z_mask.png,1,1,845,0.0128936767578125,58,38,113,73,83.59881656804734,56.60828402366864
,data/raw/2026-02-24/master/frames/himawari_20260224T041000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-02-24/daily/masks/himawari_20260224T041000Z_mask.png,1,1,845,0.0128936767578125,57,38,114,73,83.44378698224853,56.56923076923077
,data/raw/2026-02-24/master/frames/himawari_20260224T042000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-02-24/daily/masks/himawari_20260224T042000Z_mask.png,1,1,843,0.0128631591796875,57,38,114,73,83.26690391459074,56.65005931198102
,data/raw/2026-02-24/master/frames/himawari_20260224T043000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-02-24/daily/masks/himawari_20260224T043000Z_mask.png,1,8,956,0.01458740234375,39,113,76,160,60.15899581589958,139.19979079497907
,data/raw/2026-02-24/master/frames/himawari_20260224T044000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-02-24/daily/masks/himawari_20260224T044000Z_mask.png,1,7,1005,0.0153350830078125,37,113,76,160,59.82686567164179,138.53930348258706
,data/raw/2026-02-24/master/frames/himawari_20260224T045000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-02-24/daily/masks/himawari_20260224T045000Z_mask.png,1,6,1039,0.0158538818359375,37,113,86,160,60.33974975938402,138.71318575553417
,data/raw/2026-02-24/master/frames/himawari_20260224T050000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-02-24/daily/masks/himawari_20260224T050000Z_mask.png,1,5,1045,0.0159454345703125,37,112,82,161,60.305263157894736,138.7377990430622
,data/raw/2026-02-24/master/frames/himawari_20260224T051000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-02-24/daily/masks/himawari_20260224T051000Z_mask.png,1,6,1037,0.0158233642578125,36,112,82,160,60.37608486017358,138.59787849566055
,data/raw/2026-02-24/master/frames/himawari_20260224T052000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-02-24/daily/masks/himawari_20260224T052000Z_mask.png,1,7,1050,0.016021728515625,36,112,82,161,60.32190476190476,138.50666666666666
,data/raw/2026-02-24/master/frames/himawari_20260224T053000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-02-24/daily/masks/himawari_20260224T053000Z_mask.png,1,7,1037,0.0158233642578125,36,112,82,161,60.26229508196721,138.0540019286403
,data/raw/2026-02-24/master/frames/himawari_20260224T054000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-02-24/daily/masks/himawari_20260224T054000Z_mask.png,1,5,1085,0.0165557861328125,36,105,82,161,60.379723502304145,137.31336405529953
,data/raw/2026-02-24/master/frames/himawari_20260224T055000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-02-24/daily/masks/himawari_20260224T055000Z_mask.png,1,5,1068,0.01629638671875,37,105,82,158,60.66947565543071,136.92977528089887
,data/raw/2026-02-24/master/frames/himawari_20260224T060000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-02-24/daily/masks/himawari_20260224T060000Z_mask.png,1,5,1022,0.015594482421875,37,105,76,158,60.357142857142854,137.06262230919765
,data/raw/2026-02-24/master/frames/himawari_20260224T061000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-02-24/daily/masks/himawari_20260224T061000Z_mask.png,1,8,832,0.0126953125,37,124,76,158,60.28725961538461,141.97235576923077
,data/raw/2026-02-24/master/frames/himawari_20260224T062000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-02-24/daily/masks/himawari_20260224T062000Z_mask.png,1,7,857,0.0130767822265625,33,124,76,159,59.70361726954492,141.74095682613768
,data/raw/2026-02-24/master/frames/himawari_20260224T063000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-02-24/daily/masks/himawari_20260224T063000Z_mask.png,1,9,813,0.0124053955078125,33,128,76,159,59.76875768757687,142.39975399754
,data/raw/2026-02-24/master/frames/himawari_20260224T064000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-02-24/daily/masks/himawari_20260224T064000Z_mask.png,1,9,802,0.012237548828125,33,128,76,159,59.62094763092269,142.4563591022444
,data/raw/2026-02-24/master/frames/himawari_20260224T065000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-02-24/daily/masks/himawari_20260224T065000Z_mask.png,1,9,796,0.01214599609375,33,128,76,159,59.551507537688444,142.6281407035176
,data/raw/2026-02-24/master/frames/himawari_20260224T070000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-02-24/daily/masks/himawari_20260224T070000Z_mask.png,1,8,755,0.0115203857421875,33,128,76,159,59.6,142.83046357615893
,data/raw/2026-02-24/master/frames/himawari_20260224T071000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-02-24/daily/masks/himawari_20260224T071000Z_mask.png,1,6,723,0.0110321044921875,33,127,76,158,59.66113416320885,143.08298755186723
,data/raw/2026-02-24/master/frames/himawari_20260224T072000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-02-24/daily/masks/himawari_20260224T072000Z_mask.png,1,6,692,0.01055908203125,33,127,76,158,59.463872832369944,142.88294797687863
,data/raw/2026-02-24/master/frames/himawari_20260224T073000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-02-24/daily/masks/himawari_20260224T073000Z_mask.png,1,7,564,0.00860595703125,33,128,75,157,58.526595744680854,143.04255319148936
,data/raw/2026-02-24/master/frames/himawari_20260224T074000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-02-24/daily/masks/himawari_20260224T074000Z_mask.png,1,6,450,0.006866455078125,43,129,75,157,59.61555555555555,143.89333333333335
,data/raw/2026-02-24/master/frames/himawari_20260224T075000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-02-24/daily/masks/himawari_20260224T075000Z_mask.png,1,6,349,0.0053253173828125,43,133,74,157,58.97421203438395,144.27793696275072
,data/raw/2026-02-24/master/frames/himawari_20260224T003000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-02-24/daily/masks/himawari_20260224T003000Z_mask.png,2,3,258,0.003936767578125,187,62,214,90,205.27906976744185,77.17441860465117
